candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,27,124,176,160.0,True,False,0,False,0,1,36.0,16.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,30,117,166,135.0,True,False,0,False,0,1,18.0,31.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,32,197,281,206.0,True,False,1,True,0,3,9.0,75.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,41,184,262,243.0,True,False,0,False,0,1,59.0,19.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,42,155,221,173.0,True,False,1,True,1,2,18.0,48.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,46,141,201,188.0,True,False,0,False,0,1,47.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,52,122,174,146.0,True,False,0,False,0,1,24.0,28.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,66,119,170,146.0,True,False,0,False,0,1,27.0,24.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,73,168,239,225.0,True,False,0,False,0,1,57.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,81,202,288,242.0,True,False,0,False,0,1,40.0,46.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,94,215,306,268.0,True,False,0,False,0,1,53.0,38.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,102,115,164,151.0,True,False,0,False,0,1,36.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,106,191,272,207.0,True,False,0,False,0,2,16.0,65.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,109,155,220,175.0,True,False,0,False,0,2,20.0,45.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,114,143,203,158.0,True,False,0,False,0,1,15.0,45.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,120,91,129,122.0,True,False,0,False,0,1,31.0,7.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,125,118,168,156.0,True,False,0,False,0,1,38.0,12.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,126,140,199,190.0,True,False,0,False,0,1,50.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,128,213,303,264.0,True,False,0,False,0,2,51.0,39.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,134,173,247,210.0,True,False,0,False,0,2,37.0,37.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,140,150,214,208.0,True,False,0,False,0,1,58.0,6.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,144,157,224,170.0,True,False,0,False,0,2,13.0,54.0
